Waktu,Ulasan,Pengguna,jtmC98,T79_5U,HcSdrS src (6),HcSdrS src (7),HcSdrS src (8)
"2025-06-06 20:35 | Variasi: Hitam dop,L (59-60)","Bagus,dan saya puas, terimakasih seller, Alhamdulillah banget,,harga juga memuliakan pelanggan🙏🙏",,,,,,
"2024-07-16 12:33 | Variasi: Hitam dop,XL (61-62)","Bagus cakep kereen 
Mksih",yunilayunila431,,,,,
"2024-07-08 10:27 | Variasi: Hijau Armi dop,L (59-60)",,slametkhuroikah457,,,,,
"2024-06-06 09:33 | Variasi: Hitam dop,XL (61-62)",Barang telah diterima dengan baik dan rapih. Terima kasih.,,,,,,
"2025-06-09 17:48 | Variasi: Hitam kilap,L (59-60)","Pengiriman lumayan cepat 
Barang nya Dikit lecet 
Tapi masih bisa terima 
Packing nya masih kurang",dxmeme,,,,,
"2024-04-18 17:01 | Variasi: Merah maron,M (57-58)","Helm ink wrna merah udah dtg sesuai dengan gambar N keinginan, tp kaca hitam td bs d pencet pake tombol, krna pengaturan rusak, mksh seller, kurir baik",enyjepara,,,,,
"2025-07-15 16:44 | Variasi: Hitam kilap,XL (61-62)","Helmnya bagus, harganya murah terjangkau ,tokonya amanah. Sangat rekomend.",yeremias2104,,,,,
"2023-03-18 19:21 | Variasi: Merah maron,M (57-58)",,34o_wnr0uy,,,,,
"2024-07-28 22:17 | Variasi: Hitam dop,L (59-60)",Barang sudah sampai dengan selamat terima kasih kakak,gusmoel354,,,,,
"2023-10-16 00:07 | Variasi: Kuning stabilo,XL (61-62)",Prodak lumayan bagus sesuai dg harga..,frankzo909,,,,,
"2025-01-17 18:35 | Variasi: Hitam dop,L (59-60)",Sesuai harga lah. Cuma lainkali kalo mau pasang stiker jangan di double ya kak. Stiker sks di tempel ink. Semoga sukses selalu dan amanah,,,,,,
"2023-12-24 15:58 | Variasi: Hitam kilap,XL (61-62)","Packingan rapi, ad jg pelindungny, thankz bozzz",rizkysalsabila248,,,,,
"2026-03-09 03:16 | Variasi: Ice blue,M (57-58)",,3t7me_y907,,,,,
"2024-11-25 10:42 | Variasi: Hitam kilap,XL (61-62)",PENGERIMAN CEPAT DAN AMANA,1_8ppzyfjv,,,,,
"2024-06-21 08:07 | Variasi: Abu abu kilap,L (59-60)","Ga kecewa belanja di toko ini,sangat amanah rapih",jeffryantholin,,,,,
"2022-12-17 07:37 | Variasi: Putih,L (59-60)",Thank u sis barang sudah sampai sesuai pesanan kualitas produk sangat baik produk original harga produk sangat baik kecepatan pengiriman barang sangat baik respon penjual sangat baik syg ada yg pecah mungkin waktu proses pengiriman padahal udah ada pelindung nya di dalamnya,iammar86,,,,,
"2023-10-12 22:40 | Variasi: Hitam dop,M (57-58)",,iyang080878,,,,,
"2025-04-03 22:24 | Variasi: Hitam dop,L (59-60)",Sesuai lah dgn harga,,,,,,
"2024-01-08 16:14 | Variasi: Hitam kilap,L (59-60)",Barang diorder langsung direspon dan langsung dikirimkan,wongkrekah,,,,,
"2023-03-09 18:54 | Variasi: Hitam kilap,XL (61-62)",Helm baik tapi ada retak dikit dibagian kaca kiri dan kanan atau emang modelnya kayak gitu ? Dan kalau mau membuka kaca helm masih sering macet...Tapi okelah,azharibrahim18,,,,,
"2023-07-18 11:16 | Variasi: Merah maron,L (59-60)",Size L ternyata twrlalu besar but  size  cew .jd gak terpkae jadinya .,,,,,,
"2021-12-18 14:41 | Variasi: Hitam dop,M (57-58)","Produk sesuai order, packing aman, pengiriman standard, kualitas sesuai harganya, lumayanlah murah.",maryadingarmin,,,,,
"2024-03-18 10:33 | Variasi: Hitam kilap,L (59-60)","Seller good, barang good, dikirim sesuai pesanan.. ternyta size L agak kebesaran. Tpi tidak papa. Thanks seller",beauthingofficial,,,,,
"2024-12-18 13:42 | Variasi: Abu abu kilap,M (57-58)",Ada minusnya,,,,,,
"2024-08-08 12:04 | Variasi: Biru tua,XL (61-62)",Kalian harus beli juga,,,,,,
"2024-12-28 11:45 | Variasi: Hitam dop,M (57-58)","Cantik banget ihhh, pengiriman cepat pengemasan ok👍",,,,,,
"2025-08-05 07:52 | Variasi: Merah maron,M (57-58)",,nasohisohi,,,,,
"2026-03-05 18:15 | Variasi: Hitam dop,M (57-58)","Mantap tidak ada lecet sedikitpun, barang sesuai dengan gambar",,,,,,
"2024-07-01 16:50 | Variasi: Hitam kilap,L (59-60)",Dapat direkomendasikan bagi pemakai sepeda motor aktif.,faqihibrahimsyah,,,,,
"2024-10-10 20:24 | Variasi: Hitam dop,L (59-60)",Brang smpai dlm keadaan baik walau pengiriman luar pulau,binidris.parfum98,,,,,
"2024-09-06 18:58 | Variasi: Merah maron,L (59-60)","Lumayan buat harian..
Saran aja min..
Untuk repainya harus lebih tebal biar rata warnanya...",anggaayu25,,,,,
"2025-05-12 11:51 | Variasi: Hitam kilap,XL (61-62)","Lucu aja ngirim helm ga pake kotak tp di kresek, emang sih dilapisi kardus dan bubble wrap jd aman helm nya sampe ke tangan.. Next pakai kardus ya kak kirimnya.",iekhanyonyapriyanto,,,,,
"2024-03-02 18:01 | Variasi: Hitam dop,L (59-60)",,hwcevl__mb,,,,,
"2024-04-08 14:53 | Variasi: Hitam kilap,L (59-60)",Sesuai pesanan bagus harga juga gak mahal tampilan ok pengiriman cepat packing juga sangat aman tidak ada yg retak,,,,,,
"2025-04-12 13:25 | Variasi: Hijau Armi dop,L (59-60)","Semoga awet, ada sedikit masalah karet lepas kayaknya perlu dilem aja",adi_subroto,,,,,
"2021-10-15 14:32 | Variasi: Abu abu kilap,XL (61-62)",,,,,,,
"2025-03-19 19:17 | Variasi: Hitam kilap,M (57-58)","Barang sudah smpai tanpa cacat.
Kualitas busa seprti helem standar bawan dealer motor..
Kalau INK asli tebal dan ada tulisan INK di busanya..
Ini helem biasa dan ditempelkan stiker aja...
Terimkasih",lojhas,,,,,
"2025-03-15 19:39 | Variasi: Hitam dop,XL (61-62)",Mog awet,,,,,,
"2024-06-02 22:04 | Variasi: Abu abu dop,XL (61-62)","Packingan dus nya sudah penyok, nyaria terbuka, unting dalam nya di kasih buble warp jd helm aman. Saat dibuka terdapat beberapa detail helm yg kurang , seperti cat nya , tidak rapat. Ukurn swpeetinya all size.",anton.trimaryanto,,,,,
"2025-08-07 01:00 | Variasi: Hitam dop,L (59-60)","Ada lumayan bnyak lecetnya tapi helmnya sesuai sama harga kualitas nya bagus, 
Buat kurirnya makasi karena cepat bawanya dan pelayanan baik",,,,,,
"2023-03-09 12:42 | Variasi: Merah maron,XL (61-62)",Ada yg lecet yg di tutup sma stiker..terimakasih,nawaatika,,,,,
"2025-03-20 12:07 | Variasi: Hitam kilap,XL (61-62)",pemasangan stiker kurang rapi jadi tak lepas sekalian aja,,,,,,
"2026-04-09 04:53 | Variasi: Hitam dop,L (59-60)","Ada harga ada barang, kaca depan longgar sesuai sih dengan harga nya",dwiutami728,,,,,
"2025-08-07 22:26 | Variasi: Putih,M (57-58)",Sangat puas belanja di toko ini gercep... Barang sesuai pesanan.. ukuran pas .. pokok e mantep lah,cgfkgob1h4jr0do5g146ge8ezibq,,,,,
"2024-06-28 17:19 | Variasi: Hitam kilap,XL (61-62)",Kirain beneran ink oh ternyata..... Hahahahahahhaa,,,,,,
"2025-07-28 18:00 | Variasi: Abu abu dop,M (57-58)",Makasih kak.helm sudah nyampai Madiun aman tidak kurang pengiriman cepat pengamanan juga aman dech pakai plastik plastik dan bubble wrap SM kardus pokoe aman dech syuka lain waktu bisa co lagi yang lainnya,suciwidya963,,,,,
"2025-07-27 09:11 | Variasi: Hitam dop,M (57-58)","Helm yang bagus iya replika ink tpi mantap iya lumayan bagus sesuai dengan harga kak..
Terimakasih 🫡",parizin,,,,,
"2024-09-12 08:53 | Variasi: Merah maron,M (57-58)",Helmnya bagus mulus gak ada beret2nya cuma ada gopil dikit dibagian belakang.... tapi gak masalah saya puas dengan barangnya.... semoga awet helmnya,johanasoegiarto,,,,,
"2023-04-08 21:12 | Variasi: Hitam dop,M (57-58)","Helm udah nyampe, seneng bgt ama desainny dan ga ngecewain. Thanks seller😅☝️",,,,,,
"2023-04-15 21:55 | Variasi: Abu abu dop,L (59-60)",Terimakasih stiker INK nyaa.. Merk asli ditutupin stiker INK.. Ada harga ada rupa,,,,,,
"2025-05-07 19:44 | Variasi: Hitam kilap,M (57-58)","Berhubung helm lama ku sudah tidak layak pakai, ya lumayan order helm lagi, semoga awet
Belum dicoba karena datang nya sudah sore, mungkin dipakai besok pagi untuk berkendara",ahmadsodr1,,,,,
"2024-06-28 20:51 | Variasi: Hitam kilap,L (59-60)",,lindamamaelza,,,,,
"2025-01-19 14:23 | Variasi: Hitam dop,M (57-58)","Alhamdulillah Barang sudah sampai,walau pun tertunda beberapa hri,barang ny lumayan bagus cocok dgn harga ny, trimakasih",safarnovel,,,,,
"2025-02-07 12:20 | Variasi: Hitam kilap,L (59-60)","Alhamdulillah Barang sudah sampai dengan aman.
Tp ada satu yg mau saya tanyakan, apakah tali penguncian helm nya begitu apa bagai mana? Terimakasih",,,,,,
"2023-08-18 07:25 | Variasi: Hijau Armi dop,L (59-60)",,zeenkzeenk,,,,,
"2025-07-29 15:29 | Variasi: Abu abu kilap,XL (61-62)",,riko08893023232,,,,,
"2023-09-15 19:59 | Variasi: Merah maron,M (57-58)",,bedjooentoeng,,,,,
"2023-04-19 13:49 | Variasi: Hitam dop,L (59-60)",,lawisyamil,,,,,
"2025-05-11 10:57 | Variasi: Hitam dop,XL (61-62)",Mantaaaab,agussantoso_03,,,,,
"2026-04-02 20:33 | Variasi: Hijau Armi dop,XL (61-62)",,,,,,,
"2025-07-20 19:55 | Variasi: Putih,M (57-58)",Ringan nyamana cocok dengan harga sepadan tapi lumayan lah kurir ya juga ramah,bhabangal637,,,,,
"2024-04-05 12:16 | Variasi: Abu abu kilap,L (59-60)","saya akui kualitas bagus, tidak ada yg lecet barangnya atau tidak ada yg rusak. Tapi hanya sedikit kritik atau saran aja, untuk packing mungkin bisa diperhatikan lg. karena saya lihat packingnya kurang aman, saat terima paket  kondisi kardus udh benyek(entah itu salah di pengiriman atau gmana)... khawatir jg dngn helmnya, untung ada bubble warp tapi pun pas dilihat bubble warpny sedikit skli, sprti hnya 1/2 lapisan. Itu saja, semoga lbih diperhatikan tapi untuk soal bagus atau tidak, helm bagus dn untungnya aman👍🏻 terimakasih",,,,,,
"2026-01-03 14:14 | Variasi: Merah maron,L (59-60), Abu abu kilap,L (59-60)",Bermanfaat banget untuk melindungi kepala dari panas dan enak dipake...,,,,,,
"2024-08-22 18:15 | Variasi: Abu abu dop,L (59-60)",lumayan harga miring kwalitas ok,noer8083,,,,,
"2022-12-28 10:28 | Variasi: Abu abu dop,M (57-58)",Barang udah sampai nya lama pas di terima malah belah gini,muhammadjanwar_,,,,,
"2024-01-10 15:51 | Variasi: Hitam kilap,XL (61-62)","Suka dgn helmnya,sesuai iklan,wrn sesuai dgn yg dipesan,tokonya amanah,pertahankan y",,,,,,
"2024-05-20 18:25 | Variasi: Hitam kilap,M (57-58)",Cukup baik dengan harga yg terjangkau,vankapras,,,,,
"2023-03-12 11:14 | Variasi: Abu abu kilap,XL (61-62)","Mantap barang nya sesuai harga, dos nya terbuka  tp helm nya aman...sip trimaksh penjual",naufalrahman23,,,,,
"2024-04-27 06:21 | Variasi: Ice blue,L (59-60)",Helmnya bagus warnanya birunya bagus cerah...packing rapi dan aman nggak ada yg pecah,renny_agustiani,,,,,
"2025-02-04 15:21 | Variasi: Biru tua dop,L (59-60)","bgus sih sesuai harga stiker e kurang rapi, paking juga sampe ad yg pecah selebih nya bagus",edoo82,,,,,
"2024-07-02 13:07 | Variasi: Biru tua,L (59-60)",barang nya sesuai nbagus.aman,anitayunita1994,,,,,
"2026-01-05 22:03 | Variasi: Hitam kilap,M (57-58)",Pas dan bagus mantab terimakasih,musajaelanii,,,,,
"2024-02-16 11:34 | Variasi: Hitam dop,XL (61-62)",,r9setzjjna,,,,,
"2023-04-15 09:47 | Variasi: Maron dop,XL (61-62)",,anidnadiusmilky251428,,,,,
"2025-03-20 01:39 | Variasi: Hijau Armi dop,XL (61-62)",Pesanan baik gak ada cacat.. sempat kuatir liat dus nya dalam keadaan penyot2.pas pesanan tiba.untungny gk ada cacat barany.,mardiansyahkayee,,,,,
"2025-07-31 19:54 | Variasi: Hitam kilap,L (59-60)",Bagus banget aku tidak jera beli dtoko ini karna dtang nya cepat kilat,eiwfj20k4a,,,,,
"2023-04-22 14:10 | Variasi: Hijau Armi dop,L (59-60)","Saya pesan warna hijau yang datang biru. Ada tiga cacat pada helm. Tampilan foto 1: catnya tidak rata. Foto 2: ada goresan pada helm. Dan ke-3: karet dalam helm tidak sampai diujung sebelah kanan. Pengemasan cukup aman, hanya kurang rapih.",diahanggraeni857,,,,,
"2025-07-11 09:59 | Variasi: Hijau Armi dop,M (57-58)","Sesuai dgn pesanan sgt bagus,suami q suka,pas d kpla,biasax selalu susah nyari yg pas d kplax.",lina_chamay,,,,,
"2025-11-16 16:13 | Variasi: Merah maron,L (59-60)",Alhamdulillah barang sesuai dan pengiriman cepat terimakasih banyak semoga awet mantaaap,,,,,,
"2025-01-01 18:00 | Variasi: Putih,M (57-58)",Terimakasih barang bagus pengiriman cepat dan moga selalu amanah,,,,,,
"2022-12-23 07:31 | Variasi: Merah maron,L (59-60)",Lumayab bagus. Nyaman. Cukup ....................,nurhida1407,,,,,
"2023-06-29 19:17 | Variasi: Hitam dop,L (59-60)",Terima kasih barang udah sampai dengan selamat dan aman,nurtamadinurtamadi,,,,,
"2022-01-05 18:51 | Variasi: Abu abu kilap,XL (61-62)","Siip ah helm nya mantap surantap ,,,murce lg cocok bt d jual lg,,,pengiriman joss cepat bngt,,,pembeliku puas bngt,,,siip langganan d toko ini,,",jundakudus,,,,,
"2024-10-10 11:33 | Variasi: Abu abu dop,XL (61-62)","Sesuai harga...lumayan baik sekalipun KW asli 😁
Tulisan NIK hanya stiker, pengait tali helm lumayan jelek...ya sesuai harga lah... 🤣",itholenguru,,,,,
"2025-02-02 13:28 | Variasi: Abu abu kilap,XL (61-62)","Kurir ramah, pengirimannya lumanyan lama",,,,,,
"2023-03-11 17:17 | Variasi: Maron dop,L (59-60)",,rahmadani1980,,,,,
"2024-07-11 17:50 | Variasi: Hitam dop,M (57-58)","Alhamdulillah barang mendarat dengan selamat,,pas sesuai harga lah...",arikasim123,,,,,
"2025-12-05 10:59 | Variasi: Hitam kilap,XL (61-62)",,pernafino,,,,,
"2023-10-15 11:06 | Variasi: Hitam kilap,M (57-58)",Makasih BRG bgs.pngiriman ok pengemasan aman bgt.semoga awet kurir ramah,x8eej10nfy,,,,,
"2025-04-17 15:59 | Variasi: Merah maron,M (57-58)","Barang nya udah sampai gan tapi sayang bnyk yg lecet helm ya 
Padahal saya SDH pesan mohon di cek dulu sblm di kirim",ari2017wahyudi,,,,,
"2024-04-17 21:45 | Variasi: Hijau Armi dop,XL (61-62)",,rudyh6326,,,,,
"2026-01-18 18:08 | Variasi: Hitam dop,M (57-58)",,weltha,,,,,
"2025-07-15 21:00 | Variasi: Biru tua,XL (61-62)",Helmetnya bagus dan sesuai harapan tidak mengecewakan brgnya.,,,,,,
"2023-03-11 07:56 | Variasi: Ice blue,M (57-58)","Warnaa ny gx sesuai pesanan minta biru stabilo kata ny lg kosong di suruh ganti ama pink magenta,eeeh malah datang biru dop,buat apa chat kalau gx sesuai permintaan",xqtimk_qcc,,,,,
"2026-04-03 23:10 | Variasi: Kuning stabilo,L (59-60)",Rekomendasi buat beli disini,,,,,,
"2023-03-15 13:23 | Variasi: Ice blue,M (57-58)",,rubianto779,,,,,
"2025-05-12 21:50 | Variasi: Pink magenta,M (57-58)",,,,,,,
"2024-07-20 12:59 | Variasi: Hitam kilap,L (59-60)",Mantappp,danyyess513,,,,,
"2025-12-05 12:25 | Variasi: Abu abu kilap,XL (61-62)",paket sudah mendarat susuwai pesan terimakasih shopee dan seler nya,riswanwan452,,,,,
"2025-07-18 11:37 | Variasi: Biru tua,L (59-60)",Lumayan buat yg keperluan mendadak soalnya memang kualitas sesuai harga. Dan ini sih emang kualitas nya biasa sekali tapi cukup buat keperluan mendadak saat disuruh pakai helm warna ini itu atau lainnya😁👍👍👍,monkey_d_viki00,,,,,
"2025-07-23 21:09 | Variasi: Kuning stabilo,M (57-58)",Helm udah datang sesuai pesanan... Warna sesuai dan ukuran juga pas..,tr1prasetya,,,,,
"2024-03-06 06:55 | Variasi: Abu abu kilap,L (59-60)",Mantul,syamsufin,,,,,
"2023-06-06 07:58 | Variasi: Pink stabilo,M (57-58)","Hanya saja warnanya ga sama kya d gambar.  D gambar cerah banget pink nya.  Ini agak sdikit pucat.. Tp gpp lah.  Selagi semua baik2 saja fan gada yg cacat. 
Terimakasih shopee seller dan kurir",,,,,,
"2024-12-16 16:54 | Variasi: Hitam kilap,XL (61-62)","Sesuai pesanan, kualitas sesuai harga, sangat fungsional",aqim_ok,,,,,
"2024-01-31 19:45 | Variasi: Merah ferari,M (57-58)","Diterima dg baik, kondisi baik. Pengemasan kurang rapi, kurang aman, rentan pecah. Pengiriman sangat super lambat sampai 8 hari,",xtndcmkswh,,,,,
"2025-06-18 11:07 | Variasi: Hitam kilap,M (57-58)",Maaf baru beri penilaian kk. Paket sdh dtng dgn aman pengemasan jg rapi . Helm'y bagus pi agak kegedan kain bagian dalam helm jg blom slsai dijait kk. 🙏 moga kedepane bisa lebih diteliti lg y kk. Mksh .,rkvguaz_gc,,,,,
"2024-08-10 21:08 | Variasi: Putih,M (57-58)",,anwarbengkulu75,,,,,
"2024-07-21 16:56 | Variasi: Kuning stabilo,M (57-58)",,queenta94,,,,,
"2024-08-08 14:33 | Variasi: Maron dop,L (59-60)",,sumberjayaabadi99,,,,,
"2024-07-04 10:35 | Variasi: Merah ferari,M (57-58)","Murah tapi keliatan helm bekas dicat lagi moga ga suudzon,ujung topi helm kasar pengerjaannya dan ada beberapa yang cacat dan baret tipis tipis",,,,,,https://down-id.img.susercontent.com/file/id-11134103-7r992-lxamkw5yemx9de
"2024-06-27 19:08 | Variasi: Maron dop,L (59-60)",Sesuai produk sesuaii trimakasikh kakk.. selller amanahhhhh pemgiriman cepat,trisariyatun,,,,,
"2023-03-23 19:42 | Variasi: Hitam kilap,L (59-60)",Barang sangat bagus memusakan sekali,risckyreggiananta,,,,,
"2024-06-13 11:02 | Variasi: Hitam kilap,M (57-58)",Mantulll,robyharyantoh,,,,,
"2025-04-26 15:26 | Variasi: Abu abu kilap,XL (61-62)","Mantap, paket datang tepat waktu . Bagus banget lumayan dengan harga dibawah 100rb udah dapet helem SNI, walaupun kalo dilihat dari Deket emang beda sama yg ORI tapi lumayan lah, harganya jauh kalo sama yg ori, dari jauh juga keliatannya bagus gak keliatan kayak KW, ini bagus kok cukup, terimakasih seller..",,,,,,
"2023-03-05 12:37 | Variasi: Kuning stabilo,XL (61-62)",Sesuai,kakbima27,,,,,
"2025-06-04 16:37 | Variasi: Merah maron,L (59-60)","Pesanan sdh sampai rumah dengan cepat dan selamat. Kondisi barang masih bagus, warnanya cakep banget.",supriyati_321,,,,,
"2023-01-29 14:26 | Variasi: Ice blue,L (59-60)",Josss.. Muluss.. kinclong. Pengiriman cepat.👍,ariswanto.16,,,,,
"2025-12-24 07:31 | Variasi: Abu abu kilap,L (59-60)",Ngak nyesel beli di toko ini ..biarkan bintang yang berbicara..👍👍👍,ali1263955,,,,,
"2025-07-29 17:29 | Variasi: Merah maron,XL (61-62)",,,,,,,
"2024-07-08 12:22 | Variasi: Abu abu kilap,M (57-58)","Barang sesuai pesanan, dmenarik, nyaman n ringan dipakai",elmuttaqinamafaza,,,,,
"2023-09-12 18:39 | Variasi: Abu abu dop,L (59-60)",,riswanto654321,,,,,
"2023-10-12 14:33 | Variasi: Hitam dop,L (59-60)",Pengiriman cepat barang sesuai pesanan terimakasih semoga lancar selalu,,,,,,
"2025-05-16 15:20 | Variasi: Hitam kilap,XL (61-62)","Alhamdulillah walopun packingnya tdk di ksi kardus tp msh aman.pdhl aku udh nambah packing kardus sndri tp gk di ksi,trnyta cm krdus secuil buat tatakan.kecewa bgt sih😮‍💨tp untungnya tdk ada yg pecah.",,,,,,
"2024-04-29 13:09 | Variasi: Hitam dop,XL (61-62)","Alhamdulillah  sampe jg barang nya... sesuai yg dipesan... 
Cuma busa didalam nya aja... agak tipis... gak tebal... tp ok lah...
Sukses buat toko  dan shopee",,,,,,
"2023-02-04 18:02 | Variasi: Hijau Armi dop,XL (61-62)","Bagus
Sesuai harga
Semoga awet",bferryindra,,,,,
"2025-05-03 00:10 | Variasi: Pink stabilo,L (59-60)","Warna yg dipesan tdk sesuai dgn yg dikirim, beda jauh dgn foto / gambar yg dipajang, agak kecewa sih",indrakindy,,,,,
"2024-04-17 22:07 | Variasi: Hitam kilap,L (59-60)",Terimakasih barang sudah datang tadi dengan aman mulus,masagung079,,,,,
"2023-06-24 17:16 | Variasi: Abu abu kilap,XL (61-62)","Barang sdh sampai, sesuai dengan deskripsi, pelayanan seller mantabb.jasa ekspedisi kerenn.",klanesse,,,,,
"2023-02-18 19:14 | Variasi: Hitam dop,M (57-58)","Sesuai harga, tampilan keren, busa tipis",benni_manalu,,,,,
"2023-12-21 11:35 | Variasi: Hitam dop,XL (61-62)",,surallaya,,,,,
"2024-01-01 21:05 | Variasi: Abu abu dop,L (59-60)","Bentuk nya seperti original, bentuk bagus. tapi bahan lebih tipis dari asli nya, jdi lebih lentur dan lebih ringan dari yang aslinya. Sesuai dengan harga nya, semoga bisa melindungi kepala. Busa nya juga ga terlalu padat",,,,,,
"2024-06-26 12:27 | Variasi: Hitam kilap,XL (61-62)",,ega_diansyah0,,,,,
"2025-10-14 11:18 | Variasi: Hitam dop,XL (61-62)","Kalo jualan seadanya 
Helm merk sks di tempel stiker merk ink",,,,,,
"2025-07-20 14:45 | Variasi: Hitam kilap,XL (61-62)",Alhamdulillah barang'nya udah datang kak in yang kedua kalinya q pesan ke tokoh kakak Alhamdulillah barangnya itu sesuai ap lagi datangnya itu cepat kak pokok'nya gak nyesel deh beli dek tokoh kakak amanah banget terima kasih banyak ya kak 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🙏🏻,endangendang542,,,,,
"2023-02-22 21:07 | Variasi: Pink magenta,M (57-58)","Sangat memuaskan
Pengiriman cepat
Kurir ramah",sipli30,,,,,
"2026-02-25 13:22 | Variasi: Biru tua dop,L (59-60)",Terimakasih barang sudah sampai dan sesuai pesanan.,,,,,,
"2026-01-06 20:17 | Variasi: Hitam kilap,XL (61-62)","Walaupun harga miring tapi kualitas bagus, semoga awet,",triyuni6397,,,,,
"2025-11-21 15:28 | Variasi: Abu abu dop,XL (61-62)",Alhamdulillah sudah datang setelah kemarin helm hilang di taruh di teras rumah sendiri. Kenapa helm ini pengerjaannya sangat tidak rapi ya . Pengunci yang warna merah patah itu besinya,rendahwati,,,,,
"2025-01-18 13:52 | Variasi: Hitam dop,XL (61-62)",Barang datang sesuai gambar tapi sampai tidak sesuai realita karna ada yang copot kecil sih tapi ya takut aja,ganishanni.w,,,,,
"2026-02-26 11:48 | Variasi: Biru tua dop,XL (61-62)",Paking nya jelek sekali😁,mbaksitimarkentut,,,,,
"2024-10-30 16:36 | Variasi: Abu abu kilap,L (59-60)",Terima ksh kak pesanan sdh sampai dgn aman,annasreza1,,,,,
"2022-01-21 15:09 | Variasi: Hitam dop,L (59-60)","Kurir nya sangat ramah , barang ok gk ada yg lecet pengiriman cepet",lianioktavi4,,,,,
"2025-06-19 21:06 | Variasi: Abu abu dop,L (59-60)","Bagus banget,, murah lagi,, paking juga aman,padahal jauh jaraknya, wort it banget pokonya",rimaandriani02,,,,,
"2024-07-11 19:05 | Variasi: Hitam kilap,L (59-60)",,1rosi2hartono312345,,,,,
"2024-07-06 16:17 | Variasi: Hitam dop,M (57-58)",Sangat cocok dengan gambar tidak di ragukan modelnya persis orinya tapi lumayan lah dengan harga segitu dapat helm sekece ini,,,,,,
"2023-12-04 09:36 | Variasi: Abu abu kilap,L (59-60)",Pokonya the best 😍,saniyuliyani20,,,,,
"2024-07-01 16:45 | Variasi: Abu abu dop,XL (61-62)","Lumayan bagus lah dengan harga segitu 
Dari pada beli di toko-toko",romi90047,,,,,
"2025-05-03 09:42 | Variasi: Biru tua dop,L (59-60)","Dari segi penjual : fast respon
Dari segi barang : sesuai orderan
Dari segi packing : aman,&  rapi
Dari segi kurir : good job",athila_collection,,,,,
"2025-07-26 19:15 | Variasi: Hijau Armi dop,L (59-60)",,tihanyateri,,,,,
"2026-01-21 18:38 | Variasi: Hitam dop,XL (61-62)","Pembelian pertama di toko ini, smg awet",kalisari1967,,,,,
"2025-03-18 16:05 | Variasi: Hitam kilap,M (57-58)",GK nyesel belanja di toko ini sesuai dn amanah,fadhilalfajri,,,,,
"2025-05-26 17:40 | Variasi: Hitam dop,L (59-60)","barang bagus tapi ada sedikit lecet gapapa lah , nempel stikernya tolong rapihin dikit, pengiriman nya lama banget",jestingotama,,,,,
"2026-02-03 12:21 | Variasi: Abu abu dop,L (59-60)","Terima kasih buat toko y,semogah tambah laris manis 👍👍👍",vaniaastabila,,,,,
"2025-03-07 09:10 | Variasi: Abu abu dop,L (59-60)",,rusmantopan,,,,,
"2026-02-06 16:25 | Variasi: Ice blue,XL (61-62)",,anyclaludhati,,,,,
"2024-06-02 08:41 | Variasi: Hitam dop,XL (61-62)",Alhamdulillah paketnya sudah sampai dengan selamat tks kak.🙏,rudymas818,,,,,
"2024-03-26 13:23 | Variasi: Hijau Armi dop,M (57-58)","Terimakasih seller
Puas banget",dhdbfhdbd,,,,,
"2023-09-19 20:20 | Variasi: Hitam kilap,XL (61-62)","Packingan rapi banget..
Aman Ampe tujuan...
Puas belanja disini
The best seller pokonya",komankadit,,,,,
"2026-01-22 11:58 | Variasi: Merah maron,XL (61-62)","Untuk tampilan luar oke banget, untuk bagian dalam tipis busanya. sesuai harga .",boasjerico,,,,,
"2025-08-07 12:55 | Variasi: Hitam kilap,XL (61-62)","sangat bagus,cantik warna ny cerah kilat,sesuai yg di gambar",elasari558,,,,,
"2024-01-26 12:54 | Variasi: Merah maron,L (59-60)","Sangat menyenangkan belnja di shopee terutama di toko ini , respon cepat , barang kualitas bagus ,pokokx gaksah ragu belanja di toko yang satu ini 
Makasih ya ka untuk barangx bagus bagt",ihsanpraserya,,,,,
"2024-08-22 14:38 | Variasi: Hitam kilap,M (57-58)",helemnya sangat bagus semua sesuai sama yang di lef pokoknya debees deh,mariyanipusfitasari,,,,,
"2024-01-05 10:17 | Variasi: Putih,L (59-60)","Barang sesuai orderan,kurir sangat ramah n pengiriman cepat.
Toko sangat amanah,puaasss dengan pelayanannya👍👍👍👍",ciprinus,,,,,
"2024-11-08 02:14 | Variasi: Abu abu dop,L (59-60), Abu abu kilap,L (59-60)",Pesanan sudah sampai seperti di gambar,turiser,,,,,
"2024-03-17 10:14 | Variasi: Maron dop,XL (61-62)",Paket sudah saya terima gan...kurir nya ramah dan sopan,mohamadabdulcecep021,,,,,
"2025-05-08 17:28 | Variasi: Hitam kilap,M (57-58)","Sudah di terima dengan baik
Makasih seller dan pak kurir",sudijantochristian,,,,,
"2025-02-19 15:52 | Variasi: Abu abu dop,XL (61-62)",Terbungkus dgn rapi..sesuai dgn yg di pesan ..sya puas dgn pesanan sya..pokoknya ok bangat...,usmadimadi087,,,,,
"2022-12-15 19:55 | Variasi: Merah maron,L (59-60)","Pokoknya bagus dan keren, untuk yang mau beli helm di toko Bogo saja ya",iaxy0d4jzi,,,,,
