Waktu,Ulasan,Pengguna,jtmC98,T79_5U,HcSdrS src (6),HcSdrS src (7),HcSdrS src (8)
"2023-12-30 10:59 | Variasi: Hijau Armi dop,XL (61-62)",Alhamdulillah pesanan sdh sampai sesuai dengan pesanan dan utk pengiriman nya jg ok tks,yxfkg89u4u,,,,,
"2024-09-21 14:57 | Variasi: Hitam dop,L (59-60)",Barang terjangkau sesuai dengan hasil,keriuslahagu,,,,,
"2024-09-08 17:19 | Variasi: Hitam dop,L (59-60)",Kualitas bagus sesuai yg di poto toko amana bakal order lagi di toko ini mantap,reksi225,,,,,
"2024-07-06 09:04 | Variasi: Hitam dop,M (57-58)",Bagus banget nanti pesan lagi pokonya,8btqam876e,,,,,
"2023-01-04 10:10 | Variasi: Abu abu dop,M (57-58)",Sangat puas dengan barang.nya,,,,,,
"2025-04-24 13:36 | Variasi: Ice blue,XL (61-62)","Pengiriman aga lama,packing aman pake bubble wrap helem nya bagus harga murce tapi barang tidak murahan",,,,,,
"2026-04-06 20:11 | Variasi: Merah maron,M (57-58), Pink stabilo,M (57-58)",Good seller fast respon. Kurir yang ramah dan amanah. Barang diterima dengan baik.,ely_pankz,,,,,
"2023-10-16 11:59 | Variasi: Putih,M (57-58)","Oke ka².. Paket #HELM INK DOUBLE KACA VISOR udh sya terima dgn aman& sesuai poto/ deskripsi, moga aja HELMnya nyaman saat digunakan, dan bahannya kuat biar awet. 👍 Thx #NIZAMHELMETGRESIK",,,,,,
"2024-08-27 13:31 | Variasi: Hitam kilap,XL (61-62)",bagi sobat yg mau helm keren dan tidak menguras isi kantong.silahkan pilih helm ink double kaca double visor ori oc,aryatrisne,,,,,
"2023-12-24 04:16 | Variasi: Hijau Armi dop,L (59-60)","Produk sangat baik sesuai harga, penjual responsip",id2340_07450,,,,,
"2023-12-27 14:29 | Variasi: Hitam kilap,XL (61-62)","GAK NYANGKA SEBAGUS INI.... 
LANGSUNG PESAN LAGI....",badrutttamammantri,,,,,
"2023-03-07 18:19 | Variasi: Biru tua dop,M (57-58)",Lumayan lah harga sgtu,,,,,,
"2024-09-03 10:28 | Variasi: Putih,XL (61-62)",,nuryasmin,,,,,
"2025-04-19 10:36 | Variasi: Merah maron,L (59-60)","Batok dalemnya styrofoam saja gk ada busa tambahan, busa tambahan cuma disamping kiri kanan  area tali,dan banyak lecet luar helemnya, tapi yasudahlah namanya juga murah 100ribuan saja , terimakasih toko dan kurir🎉",,,,,,
"2023-10-14 15:58 | Variasi: Abu abu kilap,M (57-58)","Sesuai ke inginan warna cocok n bgus harga ok,,celler jg ok moga sukses ,makasih sama kurirnya rama n baik,barang nyampai dg slamat,moga sehat n sukses sllu bang,untuk SHOPINYA JOZZ  N SUKSES .👍👍👍",wahyudibro123,,,,,
"2025-01-24 11:24 | Variasi: Hitam dop,L (59-60)","Helm nya termasuk ringan ya,saya kira berat sperti punya saudara saya,helm INK nya beraat sekali...",,,,,,
"2023-12-04 09:57 | Variasi: Merah maron,M (57-58)",,patimahahzahra,,,,,
"2024-01-02 20:55 | Variasi: Abu abu kilap,M (57-58)","Pengiriman lumayan cepat,kurir ramah
Toko cepat Respon , pengiriman cepat,barang di paket dengan rapih dan safety
Recommended deh di toko ini",gobelika,,,,,
"2024-08-10 10:35 | Variasi: Maron dop,M (57-58)","Tolong dong diperbaiki lg packing nya masak helem bagus kardus nya buruk banget, untung helemnya g rusak n lecet",e427_06_jn,,,,,
"2025-05-09 14:59 | Variasi: Hitam kilap,L (59-60)",Rapih dalam packing,,,,,,
"2023-04-15 11:34 | Variasi: Hitam dop,L (59-60)",,jm73xnopb5,,,,,
"2025-05-14 07:26 | Variasi: Biru tua dop,XL (61-62)","Sampai tujuan dengan keadaan baik makasih 
Pas dan enak di pake",fx.adi.p,,,,,
"2023-02-05 10:30 | Variasi: Hijau Armi dop,M (57-58)","1 dulu soalnya blom saya pake ok semua

Setelah saya selidik
Kok mengganjal produk ini
Ternyata eh ternyata steaker nya untuk menutupi cacatnya🤣🤣🤣🤣 makasih sudah di gratiskan steker banyak,",sandikartakoswara,,,,,
"2023-01-04 12:37 | Variasi: Hitam kilap,M (57-58)","Kualitas sesuai harga, barang datangq",mamunbamban,,,,,
"2024-11-30 15:15 | Variasi: Merah maron,XL (61-62)",HMMM...beli selai olai d toko pak ahmad.barang sudah sampai tujuan dgn selamat.ok..👌👍☺️,mochnurcholis,,,,,
"2024-02-09 18:46 | Variasi: Merah ferari,L (59-60)","sesuai pesanan dg harga yg murah, gratis ongkir lagi. mantap",azizah4212,,,,,
"2024-02-21 15:19 | Variasi: Putih,M (57-58)","Yak alhamdulillah paket datang, helm KW meski ga rapi tapi tetep cakep dipakai, dan murah pastinya. Sekedar helm untuk perlindungan diri saja. Makasih seller..rekomended.",taufiksragen,,,,,
"2024-08-21 18:33 | Variasi: Putih,XL (61-62)","Terdapat kaca Doble gtu di dalemnya untuk sbgai kaca mata ,rekomen bisa utk menghalau cahaya jikalau panas terik matahari, 
Thanks seller",wiwinsarirventa,,,,,
"2023-04-27 18:40 | Variasi: Hitam dop,M (57-58)",Kalo mau beli make extra bubble wrap aja biar aman,bayusworo,,,,,
"2024-04-14 20:03 | Variasi: Abu abu dop,L (59-60)",,66elm4fe7z,,,,,
"2022-01-12 16:28 | Variasi: Hitam kilap,L (59-60)","Ok terima kasih brang nya sesuai pesanan dan untuk harga terjangkau sesuai kwalitas nya,,,",suryadi047,,,,,
"2024-08-08 15:55 | Variasi: Biru tua dop,XL (61-62), Hitam dop,XL (61-62)","Murah,respon cepat semoga berkualitas",andred74tmiko,,,,,
"2025-03-08 12:51 | Variasi: Abu abu kilap,XL (61-62)","Cetakan sayap depan agak gak rapi. Pewarnaan juga agak gak rata, ada sedikit yg timbul. Tapi gpp lah. Namanya juga helm KW wkwkwk 😂",qonitahtah,,,,,
